status;atlas_ref_id;brot_id;rezept_variante;name;gruppe;schritt_nr;zutaten_list;anweisung;techniken_tags;zeit_aufwand;bild_ref;quelle;bild_lead;step_bild_positive_prompt;step_bild_negativ_prompt;lead_bild_positive_prompt;lead_bild_negativ_prompt;tipps;gemini_comment1;gemini_comment2;Herkunft;Geschichte, Entstehung;Tradition;
active;CH-GL-001;CHE-00003-G-001;1;Glarner Brot;Kantonsbrote;2;Keine;Gären: 60 Min ruhen lassen.;Gären;60 Min;CHE-00003-G-001-st2.jpg;Schweizer Brot;CHE-00003-G-001.jpg;Professional food photography, dough ball rising in bowl, covered with cloth;blurry, text, cartoon;Professional food photography, Glarner Brot, oval loaf with deep lengthwise cut, golden crust, on cutting board, sliced;blurry, text, cartoon;Plastikfolie verhindert Hautbildung.;Volumenverdoppelung abwarten.;Der Teig soll entspannen.;Kanton Glarus;Glarus hat eine reiche Bäckertradition, auch durch die Truppenverpflegung (Glarner Zwieback).;Der tiefe Längsschnitt ist charakteristisch, damit das Brot kontrolliert aufreisst und viel Kruste bildet.;
active;CH-GL-001;CHE-00003-G-001;1;Glarner Brot;Kantonsbrote;3;Keine;Formen: Zwei längliche Wecken formen (leicht gebogen).;Formen;10 Min;CHE-00003-G-001-st3.jpg;Schweizer Brot;CHE-00003-G-001.jpg;Professional food photography, shaping oval dough loaves, smooth surface;blurry, text, cartoon;Professional food photography, Glarner Brot, oval loaf with deep lengthwise cut, golden crust, on cutting board, sliced;blurry, text, cartoon;Schluss nach unten legen.;Form sollte kompakt und oval sein.;Klassische Brotform, einfach aber gut.;Kanton Glarus;Glarus hat eine reiche Bäckertradition, auch durch die Truppenverpflegung (Glarner Zwieback).;Der tiefe Längsschnitt ist charakteristisch, damit das Brot kontrolliert aufreisst und viel Kruste bildet.;
active;CH-GL-001;CHE-00003-G-001;1;Glarner Brot;Kantonsbrote;4;Wasser;Backen: Längs tief einschneiden. 35-50 Min bei 250 Grad backen. Mit Wasser bestreichen.;Backen,Einschneiden;50 Min;CHE-00003-G-001-st4.jpg;Schweizer Brot;CHE-00003-G-001.jpg;Professional food photography, scoring dough with razor blade, raw texture, deep cut;blurry, text, cartoon;Professional food photography, Glarner Brot, oval loaf with deep lengthwise cut, golden crust, on cutting board, sliced;blurry, text, cartoon;Messer muss sehr scharf sein (Rasierklinge).;Heiss anbacken für guten Ofentrieb.;Der Schnitt ist das Erkennungszeichen.;Kanton Glarus;Glarus hat eine reiche Bäckertradition, auch durch die Truppenverpflegung (Glarner Zwieback).;Der tiefe Längsschnitt ist charakteristisch, damit das Brot kontrolliert aufreisst und viel Kruste bildet.;
active;CH-BS-001;CHE-00004-G-001;1;Basler Brot;Kantonsbrote;1;1kg Mehl, 7.5-8dl Wasser, 45g Hefe, 20g Salz;Mischen & Kneten: Zutaten mischen (Salz später). 10-15 Min kneten (sehr weich!).;Kneten;20 Min;CHE-00004-G-001-st1.jpg;Schweizer Brot;CHE-00004-G-001.jpg;Professional food photography, high hydration dough in mixer, glossy and sticky, stretching;blurry, text, cartoon;Professional food photography, Basler Brot, two oval loaves baked together ends-on, dark floury crust, rustic, torn open;blurry, text, cartoon;Vorsicht, Teig ist sehr klebrig (hohe Hydration).;Nicht zu viel Mehl beim Kneten zugeben, sonst wird es trocken.;Berühmt für die grossporige Krume.;Kanton Basel (Stadt & Land);Wurde erstmals 1792 beschrieben. Dunkles Brot war damals Alltag, Weisses Luxus.;Wird traditionell als Doppelbrot (Kopf an Kopf) gebacken und sehr dunkel ausgebacken ('rösch'). Die Kruste ist oft mehlig.;
active;CH-BS-001;CHE-00004-G-001;1;Basler Brot;Kantonsbrote;2;Keine;Gären: 50 Min ruhen. Falten. 30 Min ruhen. Falten. 30 Min ruhen.;Gären,Falten;110 Min;CHE-00004-G-001-st2.jpg;Schweizer Brot;CHE-00004-G-001.jpg;Professional food photography, folding wet dough in tub, stretch and fold, air bubbles;blurry, text, cartoon;Professional food photography, Basler Brot, two oval loaves baked together ends-on, dark floury crust, rustic, torn open;blurry, text, cartoon;Falten (Stretch & Fold) stärkt das Klebergerüst.;Nasse Hände helfen gegen Kleben.;Die lange Gare bringt den Geschmack.;Kanton Basel (Stadt & Land);Wurde erstmals 1792 beschrieben. Dunkles Brot war damals Alltag, Weisses Luxus.;Wird traditionell als Doppelbrot (Kopf an Kopf) gebacken und sehr dunkel ausgebacken ('rösch'). Die Kruste ist oft mehlig.;
active;CH-BS-001;CHE-00004-G-001;1;Basler Brot;Kantonsbrote;3;Mehl;Formen: In zwei Stücke teilen, lang formen, bemehlen. 20 Min entspannen.;Formen;25 Min;CHE-00004-G-001-st3.jpg;Schweizer Brot;CHE-00004-G-001.jpg;Professional food photography, shaped dough loaves resting on linen couche, heavy flour dusting;blurry, text, cartoon;Professional food photography, Basler Brot, two oval loaves baked together ends-on, dark floury crust, rustic, torn open;blurry, text, cartoon;Viel Mehl verwenden für die typische Optik.;Nicht zu stark entgasen beim Formen.;Locker formen für grosse Poren.;Kanton Basel (Stadt & Land);Wurde erstmals 1792 beschrieben. Dunkles Brot war damals Alltag, Weisses Luxus.;Wird traditionell als Doppelbrot (Kopf an Kopf) gebacken und sehr dunkel ausgebacken ('rösch'). Die Kruste ist oft mehlig.;
active;CH-BS-001;CHE-00004-G-001;1;Basler Brot;Kantonsbrote;4;Keine;Backen: Aneinandergeschoben bei 240 Grad 50-60 Min dunkel backen.;Backen;60 Min;CHE-00004-G-001-st4.jpg;Schweizer Brot;CHE-00004-G-001.jpg;Professional food photography, bread oven interior, dark crust bread baking, intense heat;blurry, text, cartoon;Professional food photography, Basler Brot, two oval loaves baked together ends-on, dark floury crust, rustic, torn open;blurry, text, cartoon;Muss dunkel ausgebacken werden für den Geschmack.;Viel Dampf zu Beginn.;Eines der beliebtesten Brote der Schweiz.;Kanton Basel (Stadt & Land);Wurde erstmals 1792 beschrieben. Dunkles Brot war damals Alltag, Weisses Luxus.;Wird traditionell als Doppelbrot (Kopf an Kopf) gebacken und sehr dunkel ausgebacken ('rösch'). Die Kruste ist oft mehlig.;
active;CH-SH-001;CHE-00005-G-001;1;Schaffhauser Brot;Kantonsbrote;1;1kg Mehl, 7dl Wasser, 20g Hefe, 20g Salz;Mischen & Kneten: Zutaten mischen (Salz später). 10-15 Min kneten.;Kneten;20 Min;CHE-00005-G-001-st1.jpg;Schweizer Brot;CHE-00005-G-001.jpg;Professional food photography, ingredients on table, flour mound, water, yeast;blurry, text, cartoon;Professional food photography, Schaffhauser Brot, two round loaves baked together side-by-side, golden crust, wooden board;blurry, text, cartoon;Teigtemperatur ca 24 Grad anstreben.;Gute Basisteigführung.;Ähnelt dem St. Galler, aber ohne 'Nase'.;Kanton Schaffhausen;Lokale Variante des Ruchbrots.;Wird als Paarbrot gebacken (zwei runde Laibe seitlich aneinander), was das Austrocknen an der Kontaktseite verhindert.;
active;CH-SH-001;CHE-00005-G-001;1;Schaffhauser Brot;Kantonsbrote;2;Keine;Gären: 60 Min ruhen lassen.;Gären;60 Min;CHE-00005-G-001-st2.jpg;Schweizer Brot;CHE-00005-G-001.jpg;Professional food photography, dough rising in bowl, smooth surface, soft light;blurry, text, cartoon;Professional food photography, Schaffhauser Brot, two round loaves baked together side-by-side, golden crust, wooden board;blurry, text, cartoon;Gut abdecken.;Keine Zugluft.;Standardgare für Ruchbrot.;Kanton Schaffhausen;Lokale Variante des Ruchbrots.;Wird als Paarbrot gebacken (zwei runde Laibe seitlich aneinander), was das Austrocknen an der Kontaktseite verhindert.;
active;CH-SH-001;CHE-00005-G-001;1;Schaffhauser Brot;Kantonsbrote;3;Keine;Formen: In zwei Stücke teilen, rund formen. Auf Blech aneinanderschieben.;Formen;15 Min;CHE-00005-G-001-st3.jpg;Schweizer Brot;CHE-00005-G-001.jpg;Professional food photography, placing two round dough balls touching on baking sheet;blurry, text, cartoon;Professional food photography, Schaffhauser Brot, two round loaves baked together side-by-side, golden crust, wooden board;blurry, text, cartoon;Kontaktfläche leicht bemehlen.;Rundwirken mit dem Handballen.;Die Verbindung hält das Brot länger frisch.;Kanton Schaffhausen;Lokale Variante des Ruchbrots.;Wird als Paarbrot gebacken (zwei runde Laibe seitlich aneinander), was das Austrocknen an der Kontaktseite verhindert.;
active;CH-SH-001;CHE-00005-G-001;1;Schaffhauser Brot;Kantonsbrote;4;Wasser;Backen: 30-40 Min garen. 50 Min bei 250 Grad backen. Mit Wasser bestreichen.;Backen;90 Min;CHE-00005-G-001-st4.jpg;Schweizer Brot;CHE-00005-G-001.jpg;Professional food photography, fresh bread cooling on rack, shiny crust;blurry, text, cartoon;Professional food photography, Schaffhauser Brot, two round loaves baked together side-by-side, golden crust, wooden board;blurry, text, cartoon;Heisser Ofen für guten Ausbund.;Glanzstreiche sofort nach dem Backen.;Ideal zum 'Zvieri'.;Kanton Schaffhausen;Lokale Variante des Ruchbrots.;Wird als Paarbrot gebacken (zwei runde Laibe seitlich aneinander), was das Austrocknen an der Kontaktseite verhindert.;
active;CH-LU-001;CHE-00006-G-001;1;Luzerner Brot;Kantonsbrote;1;200g Ruchmehl, 145g Wasser, 10g Sauerteigansatz;Sauerteig: Zutaten mischen, über Nacht (8-12h) stehen lassen.;Mischen,Fermentieren;12 Std;CHE-00006-G-001-st1.jpg;Schweizer Brot;CHE-00006-G-001.jpg;Professional food photography, sourdough starter in jar, bubbly texture, fermentation;blurry, text, cartoon;Professional food photography, Luzerner Brot, oval loaf with depressed center, dark brown crust, rustic setting;blurry, text, cartoon;Sauerteig sorgt für Frischhaltung.;Temperatur ca. 20-22 Grad für den Vorteig.;Traditionell eines der wenigen echten Sauerteigbrote der Deutschschweiz.;Kanton Luzern;Geht auf spätmittelalterliche Zunftordnungen zurück.;Der 'Weggen' hat eine typische Vertiefung, die früher evtl. zum Stapeln oder Prüfen der Gare diente (oder als Symbolik).;
active;CH-LU-001;CHE-00006-G-001;1;Luzerner Brot;Kantonsbrote;2;600g Ruchmehl, 420g Wasser, 20g Backhefe, 355g Sauerteig, 17g Salz;Mischen: Alles mischen, Salz nach 5 Min. 10-15 Min kneten. 60-90 Min garen.;Kneten,Gären;105 Min;CHE-00006-G-001-st2.jpg;Schweizer Brot;CHE-00006-G-001.jpg;Professional food photography, mixing dough with sourdough, rustic bowl;blurry, text, cartoon;Professional food photography, Luzerner Brot, oval loaf with depressed center, dark brown crust, rustic setting;blurry, text, cartoon;Sauerteig gibt kräftigen Geschmack.;Teig ist elastisch aber stabil.;Passt gut zu Käsefondue.;Kanton Luzern;Geht auf spätmittelalterliche Zunftordnungen zurück.;Der 'Weggen' hat eine typische Vertiefung, die früher evtl. zum Stapeln oder Prüfen der Gare diente (oder als Symbolik).;
active;CH-LU-001;CHE-00006-G-001;1;Luzerner Brot;Kantonsbrote;3;Mehl;Formen: Zwei länglich-ovale Laibe formen. 10 Min ruhen. In der Mitte eindrücken (mit Holzstab).;Formen;20 Min;CHE-00006-G-001-st3.jpg;Schweizer Brot;CHE-00006-G-001.jpg;Professional food photography, baker pressing a wooden rod into oval dough loaf to create center depression;blurry, text, cartoon;Professional food photography, Luzerner Brot, oval loaf with depressed center, dark brown crust, rustic setting;blurry, text, cartoon;Holzstab bemehlen.;Nicht durchdrücken, nur vertiefen.;Die Form 'Weggen' ist einzigartig.;Kanton Luzern;Geht auf spätmittelalterliche Zunftordnungen zurück.;Der 'Weggen' hat eine typische Vertiefung, die früher evtl. zum Stapeln oder Prüfen der Gare diente (oder als Symbolik).;
active;CH-LU-001;CHE-00006-G-001;1;Luzerner Brot;Kantonsbrote;4;Keine;Backen: 20-30 Min ruhen. Bei 220 Grad (Vorgeheizt 260) 45-55 Min backen.;Backen;80 Min;CHE-00006-G-001-st4.jpg;Schweizer Brot;CHE-00006-G-001.jpg;Professional food photography, dark baked bread in oven, rustic crust;blurry, text, cartoon;Professional food photography, Luzerner Brot, oval loaf with depressed center, dark brown crust, rustic setting;blurry, text, cartoon;Fallende Hitze ist ideal.;Kruste soll dunkelbraun sein.;Ein sehr haltbares Brot.;Kanton Luzern;Geht auf spätmittelalterliche Zunftordnungen zurück.;Der 'Weggen' hat eine typische Vertiefung, die früher evtl. zum Stapeln oder Prüfen der Gare diente (oder als Symbolik).;
active;CH-BE-001;CHE-00007-G-001;1;Bernerbrot;Kantonsbrote;1;1kg Mehl, 6dl Wasser, 45g Hefe, 20g Salz;Mischen & Kneten: Mischen, Salz nach 5 Min. 10-15 Min kneten.;Kneten;20 Min;CHE-00007-G-001-st1.jpg;Schweizer Brot;CHE-00007-G-001.jpg;Professional food photography, kneading firm dough, floury surface;blurry, text, cartoon;Professional food photography, Bernerbrot, round-oval loaf with deep slant cuts, golden crispy crust, sliced;blurry, text, cartoon;Eher festerer Teig als beim Basler.;Gute Knetmaschine von Vorteil.;Ein robustes Alltagsbrot.;Kanton Bern;Typisches 'Pfüderi' oder 'Rupf' Brot.;Wird meist mit schrägen Einschnitten (Rauten) versehen oder als Kopfbrot geformt. Sehr knusprig.;
active;CH-BE-001;CHE-00007-G-001;1;Bernerbrot;Kantonsbrote;2;Keine;Gären: 60-75 Min ruhen lassen (doppelt so gross).;Gären;75 Min;CHE-00007-G-001-st2.jpg;Schweizer Brot;CHE-00007-G-001.jpg;Professional food photography, risen dough covered with cloth, volume increase;blurry, text, cartoon;Professional food photography, Bernerbrot, round-oval loaf with deep slant cuts, golden crispy crust, sliced;blurry, text, cartoon;Zeit lassen für die Geschmacksentwicklung.;Raumtemperatur beachten.;Bern mag es gemütlich.;Kanton Bern;Typisches 'Pfüderi' oder 'Rupf' Brot.;Wird meist mit schrägen Einschnitten (Rauten) versehen oder als Kopfbrot geformt. Sehr knusprig.;
active;CH-BE-001;CHE-00007-G-001;1;Bernerbrot;Kantonsbrote;3;Keine;Formen: In zwei Stücke teilen, rund-oval formen. 20-30 Min ruhen.;Formen;30 Min;CHE-00007-G-001-st3.jpg;Schweizer Brot;CHE-00007-G-001.jpg;Professional food photography, shaping oval dough loaves on workbench;blurry, text, cartoon;Professional food photography, Bernerbrot, round-oval loaf with deep slant cuts, golden crispy crust, sliced;blurry, text, cartoon;Straff wirken für guten Stand.;Keine Risse im Teigling lassen.;Vorbereitung für den Schnitt.;Kanton Bern;Typisches 'Pfüderi' oder 'Rupf' Brot.;Wird meist mit schrägen Einschnitten (Rauten) versehen oder als Kopfbrot geformt. Sehr knusprig.;
active;CH-BE-001;CHE-00007-G-001;1;Bernerbrot;Kantonsbrote;4;Wasser;Backen: Quer tief einschneiden (schräg). 50-60 Min bei 230 Grad backen. Mit Wasser bestreichen.;Backen,Einschneiden;60 Min;CHE-00007-G-001-st4.jpg;Schweizer Brot;CHE-00007-G-001.jpg;Professional food photography, slashing dough diagonally with lame, deep cut;blurry, text, cartoon;Professional food photography, Bernerbrot, round-oval loaf with deep slant cuts, golden crispy crust, sliced;blurry, text, cartoon;Mutig einschneiden.;Wasser sorgt für den Glanz ("Glanzstreiche").;Kruste soll goldbraun sein.;Kanton Bern;Typisches 'Pfüderi' oder 'Rupf' Brot.;Wird meist mit schrägen Einschnitten (Rauten) versehen oder als Kopfbrot geformt. Sehr knusprig.;
active;CH-GR-001;CHE-00008-G-001;1;Bündner Roggenringbrot;Kantonsbrote;1;7dl Wasser, 35g Hefe, 20g Salz, 600g Roggenmehl hell, 200g Ruchmehl;Mischen & Kneten: Mischen, Salz nach 5 Min. 10-15 Min kneten.;Kneten;20 Min;CHE-00008-G-001-st1.jpg;Schweizer Brot;CHE-00008-G-001.jpg;Professional food photography, mixing rye dough, sticky greyish texture, rustic bowl;blurry, text, cartoon;Professional food photography, Bündner Roggenringbrot, large ring shaped bread, rye flour dusted, cuts on surface, hanging on rack or lying flat;blurry, text, cartoon;Roggen klebt stärker als Weizen.;Hände nass machen beim Verarbeiten.;Aromatisches Brot aus den Bergen.;Kanton Graubünden;Roggen wächst auch in höheren Lagen, wo Weizen nicht gedeiht.;Ringform diente historisch dazu, die Brote auf Stangen hängend vor Mäusen sicher zu trocknen und zu lagern (Vorratsbrot).;
active;CH-GR-001;CHE-00008-G-001;1;Bündner Roggenringbrot;Kantonsbrote;2;Keine;Gären: 40-50 Min ruhen lassen (doppelt so gross).;Gären;50 Min;CHE-00008-G-001-st2.jpg;Schweizer Brot;CHE-00008-G-001.jpg;Professional food photography, rye dough fermentation bubbles, texture shot;blurry, text, cartoon;Professional food photography, Bündner Roggenringbrot, large ring shaped bread, rye flour dusted, cuts on surface, hanging on rack or lying flat;blurry, text, cartoon;Roggen gärt oft etwas schneller.;Nicht übergären lassen.;Kompakte Krume ist typisch.;Kanton Graubünden;Roggen wächst auch in höheren Lagen, wo Weizen nicht gedeiht.;Ringform diente historisch dazu, die Brote auf Stangen hängend vor Mäusen sicher zu trocknen und zu lagern (Vorratsbrot).;
active;CH-GR-001;CHE-00008-G-001;1;Bündner Roggenringbrot;Kantonsbrote;3;Roggenmehl;Formen: Zwei 40-45cm Stränge formen, zu Ringen verbinden. In Roggenmehl wenden. 20 Min ruhen.;Formen;25 Min;CHE-00008-G-001-st3.jpg;Schweizer Brot;CHE-00008-G-001.jpg;Professional food photography, shaping dough into a ring, joining ends, rye flour;blurry, text, cartoon;Professional food photography, Bündner Roggenringbrot, large ring shaped bread, rye flour dusted, cuts on surface, hanging on rack or lying flat;blurry, text, cartoon;Verbindungsstelle gut andrücken.;Roggenmehl verhindert Kleben.;Rustikale Optik erwünscht.;Kanton Graubünden;Roggen wächst auch in höheren Lagen, wo Weizen nicht gedeiht.;Ringform diente historisch dazu, die Brote auf Stangen hängend vor Mäusen sicher zu trocknen und zu lagern (Vorratsbrot).;
active;CH-GR-001;CHE-00008-G-001;1;Bündner Roggenringbrot;Kantonsbrote;4;Keine;Backen: Dreimal einschneiden. 45 Min bei 230 Grad backen.;Backen;45 Min;CHE-00008-G-001-st4.jpg;Schweizer Brot;CHE-00008-G-001.jpg;Professional food photography, baking ring bread in oven, rustic look;blurry, text, cartoon;Professional food photography, Bündner Roggenringbrot, large ring shaped bread, rye flour dusted, cuts on surface, hanging on rack or lying flat;blurry, text, cartoon;Schnitt verhindert Risse an falscher Stelle.;Gut durchbacken.;Hält sich sehr lange frisch.;Kanton Graubünden;Roggen wächst auch in höheren Lagen, wo Weizen nicht gedeiht.;Ringform diente historisch dazu, die Brote auf Stangen hängend vor Mäusen sicher zu trocknen und zu lagern (Vorratsbrot).;
