id;name;type;protein;verwendung;beschreibung;trivia;bild
25;Mesquite Mehl;USA/MX: Mesquite;13-17%;Pfannkuchen, Gewürz;Aus den Schoten des Mesquite-Baumes. Schmeckt natürlich süß (wie Karamell/Zimt).;Wurde von nordamerikanischen Ureinwohnern genutzt. Da es süß ist ohne Zuckerzusatz, heute beliebt bei Diabetikern.;mesquite.jpg
26;Brotfruchtmehl;Pacific: ‘Ulu flour;4-5%;Glutenfreies Backen, Pfannkuchen;Aus der tropischen Frucht. Stärkereich, schmeckt leicht nach Kartoffel/Artischocke.;Captain Bligh (Meuterei auf der Bounty) sollte diese Pflanze transportieren, um billiges Essen für Sklaven zu haben.;brotfrucht.jpg
27;Kokosmehl;Global Tropical;18-20%;Low Carb, Kuchen;Getrocknetes, entöltes Kokosfleisch. Extrem ballaststoffreich.;Vorsicht: Es saugt Flüssigkeit wie ein Schwamm! Man kann Weizenmehl nicht 1:1 ersetzen, man braucht viel mehr Eier/Flüssigkeit.;kokosmehl.jpg
28;Mandelmehl (Entölt);Nussmehl;40-50%;Macarons, Low Carb Brot;Aus gepressten Mandeln. Sehr fein, marzipan-ähnlicher Duft. Bindet gut Wasser.;Nicht zu verwechseln mit "gemahlenen Mandeln". Mandelmehl ist entölt, feiner und saugfähiger.;mandelmehl.jpg
29;Hanfmehl;Global Modern;30%;Protein-Zusatz, Brote;Aus dem Presskuchen der Hanföl-Produktion. Nussig, grünlich.;Enthält kein THC (keine Berauschung), dafür aber extrem hochwertiges Eiweiß und alle essentiellen Aminosäuren.;hanfmehl.jpg
30;Hato Mugi (Hiobsträne);JP: Hatomugi | CN: Yi Yi Ren;13-14%;Tee, Suppen, Heilnahrung;Großes, perlweisses Korn (Süßgras). Glutenfrei.;Gilt in der Traditionellen Chinesischen Medizin (TCM) als heilend für die Haut und entgiftend.;hatomugi.jpg
31;Eichelmehl;Europa Historisch;5-6%;Notbrote, Kekse;Nussig, herb. Muss aufwendig gewässert werden ("Gerben"), um Bitterstoffe zu entfernen.;In Notzeiten und Kriegen oft die einzige Stärkequelle. Heute "Wild Food" Trend.;eichelmehl.jpg
32;Süßlupinenmehl;EU: Lupine;35-40%;Brotverbesserer, Low Carb;Heimische Eiweißquelle. Macht Teige gelb und hält frisch.;Verwandt mit Erdnüssen (Achtung Allergiker!). Wird oft als "Soja des Nordens" bezeichnet.;lupine.jpg
33;Sojamehl (Volllfett);Leguminose;35-40%;Ei-Ersatz, Brotverbesserer;Bohnig, gelb. Wirkt durch Lezithin als natürlicher Emulgator (verbindet Fett & Wasser).;Wird oft in kleinen Mengen (2-5%) Weizenteigen zugesetzt, um die Krume weicher und heller zu machen ("Toastbrot-Trick").;sojamehl.jpg
34;Amaranthmehl;Mexiko: Amaranth;15-18%;Fladen, Müsli, Brei;Das "Gold der Inkas". Winzige Körner, nussig, erdig. Glutenfrei.;Amaranth wurde von den Spaniern verboten, da die Azteken daraus Götterfiguren formten und aßen ("Theophagie").;amaranth.jpg
35;Quinoamehl;Südamerika: Quinoa;14-16%;Glutenfreies Backen, Superfood;Das "Gold der Inka". Schmeckt leicht nussig bis bitter (Saponine). Enthält alle 9 essentiellen Aminosäuren.;Botanisch gesehen ein Gänsefußgewächs (verwandt mit Spinat), kein Gras! NASA-Food.;quinoa.jpg
36;Bananenmehl (Grün);Resistente Stärke;3-4%;Pancakes, Smoothies, Glutenfrei;Aus unreifen grünen Kochbananen. Schmeckt NICHT nach Banane, sondern neutral.;Enthält viel "resistente Stärke", die wie Ballaststoffe wirkt und den Blutzuckerspiegel kaum ansteigen lässt.;bananenmehl.jpg
37;Pfeilwurzelstärke;Bindemittel;0%;Saucen, Gelees, Glutenfrei-Mix;Arrowroot. Geschmacksneutral, bindet bei niedrigeren Temperaturen als Maisstärke.;Macht Saucen klar und glänzend (nicht trüb wie Mehl). Ideal für Fruchtgrützen.;arrowroot.jpg
38;Flohsamenschalen (Psyllium);Bindemittel;2-3%;Glutenfreies Brot (Struktur);Zieht extrem Wasser und bildet ein Gel. Ersetzt das Klebergerüst (Gluten) in glutenfreien Teigen.;Ohne Flohsamen oder Xanthan wären glutenfreie Brote nur bröselige Sandkuchen. Psyllium hält das Gas im Teig.;flohsamen.jpg
39;Traubenkernmehl;Superfood;10-12%;Brot-Zusatz, Panade;Dunkelbraun, herb. Wird aus den Kernen der Weinherstellung gepresst (OPC-reich).;Hitzestabil. Man ersetzt ca. 5-10% des Mehls im Brot, um es herzhafter und gesünder zu machen.;traubenkern.jpg
