status;atlas_ref_id;brot_id;rezept_variante;name;gruppe;schritt_nr;zutaten_list;anweisung;techniken_tags;zeit_aufwand;bild_ref;quelle
active;CH-WURZ-001;WURZEL-01;1;Wurzelbrot (Klassisch & Rustikal);Spezialbrote;1;500g Mehl (Halbweiss für hell / Ruch+Körner für rustikal), 380g Wasser (kalt), 10g Salz, 3g Hefe;Teig (Lange Führung): Alle Zutaten nur kurz mischen/kneten. In eine geölte Wanne legen. Im Kühlschrank 12-24h gehen lassen (Cold Proof).;Mischen,Kühlen;10 Min + 12h;WURZEL-01_step1_dough.jpg;Modern
active;CH-WURZ-001;WURZEL-01;1;Wurzelbrot (Klassisch & Rustikal);Spezialbrote;2;Viel Mehl zum Bestäuben;Formen (Zwirbeln): Teig auf gut bemehlte Fläche kippen. In 2-3 Streifen schneiden. Die Streifen in sich verdrehen (tordieren) wie eine Wurzel. Aufs Blech legen.;Formen,Tordieren;10 Min;null;Modern
active;CH-WURZ-001;WURZEL-01;1;Wurzelbrot (Klassisch & Rustikal);Spezialbrote;3;Keine;Backen: Bei 240°C mit viel Dampf ca. 25-30 Min backen. Keine Stückgare nötig, direkt in den Ofen!;Backen;30 Min;WURZEL-01_step3_fertig.jpg;Modern
active;CH-WURZ-002;NOKNEAD-01;1;Wurzelbrot (No Knead);Trendgebäck;1;400g Weizenmehl 550/Halbweiss, 300g Wasser, 1g Trockenhefe, 8g Salz;Mischen: Alle Zutaten in einer Schüssel mit einem Löffel verrühren, bis kein trockenes Mehl mehr zu sehen ist. Nicht kneten!;Mischen;5 Min;null;Jim Lahey Style
active;CH-WURZ-002;NOKNEAD-01;1;Wurzelbrot (No Knead);Trendgebäck;2;Keine;Reifen: Schüssel abdecken und 12-18 Stunden bei Raumtemperatur stehen lassen. Der Teig wirft Blasen und wobbelt.;Fermentieren;18 Std;null;Jim Lahey Style
active;CH-WURZ-002;NOKNEAD-01;1;Wurzelbrot (No Knead);Trendgebäck;3;Mehl;Formen & Backen: Teig auf bemehlte Fläche gleiten lassen, falten, in Form ziehen oder zwirbeln. Sofort bei 240°C (am besten im Gusseisentopf) 30 Min mit Deckel, 15 Min ohne Deckel backen.;Backen;45 Min;NOKNEAD-01_step3_fertig.jpg;Jim Lahey Style
active;CH-AG-001;AARGAU-01;1;Aargauer Brot;Schweizer Kantonalbrote;1;500g Ruchmehl, 330g Wasser, 10g Hefe, 12g Salz;Teig: Klassische direkte Führung. Alles intensiv kneten (Fenstertest). Teigruhe 60-75 Min (1x falten).;Kneten,Gären;90 Min;AARGAU-01_step1_dough.jpg;Traditionell
active;CH-AG-001;AARGAU-01;1;Aargauer Brot;Schweizer Kantonalbrote;2;Mehl zum Bestäuben;Formen: Rundwirken, dann leicht langstossen (oval). Mit dem Schluss nach unten garen lassen. Vor dem Backen 2-3 schräge Einschnitte anbringen.;Formen;10 Min;null;Traditionell
active;CH-AG-001;AARGAU-01;1;Aargauer Brot;Schweizer Kantonalbrote;3;Keine;Backen: Bei 240°C mit Dampf anbacken. Das Aargauer Brot zeichnet sich durch eine kräftige, rösche Kruste aus.;Backen;50 Min;AARGAU-01_step3_fertig.jpg;Traditionell
active;IT-CIAB-001;CIAB-01;1;Ciabatta (Original);Italienische Brote;1;150g Weizenmehl (Tipo 00 oder 550), 75g Wasser, 1g Hefe (frisch);Vorteig (Biga) ansetzen: Zutaten zu einem festen, krümeligen Teig verkneten. In einem hohen Gefäss luftdicht verschlossen 14-16 Stunden bei 16-18°C reifen lassen.;Fermentieren;10 Min + 14h Ruhe;CIAB-01_step1_biga.jpg;Traditionell
active;IT-CIAB-001;CIAB-01;1;Ciabatta (Original);Italienische Brote;2;Reifer Biga, 350g Weizenmehl (proteinreich), 250g Wasser (eiskalt), 3g Hefe, 5g Malz (optional);Hauptteig mischen: Biga in Stücke zupfen. Mit Mehl, Hefe und Malz in die Schüssel geben. Zuerst nur ca. 220g des Wassers hinzugeben. 5 Min langsam mischen (Autolyse-Effekt).;Mischen;5 Min;null;Traditionell
active;IT-CIAB-001;CIAB-01;1;Ciabatta (Original);Italienische Brote;3;10g Salz, 30g Restwasser;Kneten & Bassinage: Salz zugeben. Auf schneller Stufe kneten. Das restliche Wasser (30g) schluckweise hinzugeben ("Bassinage"), immer erst wenn das vorherige Wasser aufgenommen wurde. Kneten bis der Fenstertest perfekt ist (Teig ist sehr weich/glänzend).;Kneten,Bassinage;15 Min;CIAB-01_step3_dough.jpg;Traditionell
active;IT-CIAB-001;CIAB-01;1;Ciabatta (Original);Italienische Brote;4;Olivenöl (für die Wanne);Stockgare & Coil Folds: Teig in eine geölte, rechteckige Wanne geben. 3 Stunden reifen lassen. Nach 30, 60 und 90 Minuten jeweils "Coil Folds" machen (Teig anheben und unter sich selbst falten), um Struktur aufzubauen.;Gären,Falten;3 Std;CIAB-01_step4_fold.jpg;Modern
active;IT-CIAB-001;CIAB-01;1;Ciabatta (Original);Italienische Brote;5;Viel Semola (Hartweizengriess) oder Mehl;Formen: Arbeitsfläche dick mit Semola bestreuen. Teigwanne vorsichtig umdrehen, Teig herausgleiten lassen (NICHT drücken/entgasen!). Teigoberfläche bemehlen. Mit Teigkarte in 3-4 längliche Rechtecke ("Pantoffeln") abstechen.;Formen,Teilen;10 Min;CIAB-01_step5_cut.jpg;Traditionell
active;IT-CIAB-001;CIAB-01;1;Ciabatta (Original);Italienische Brote;6;Keine;Stückgare: Die Teiglinge vorsichtig auf ein bemehltes Bäckerleinen (Couche) heben. Mit Tuch stützen. Ca. 30-45 Minuten gehen lassen. Ofen mit Backstein auf 250°C vorheizen.;Gären;45 Min;null;Traditionell
active;IT-CIAB-001;CIAB-01;1;Ciabatta (Original);Italienische Brote;7;Wasser (Schwaden);Backen: Teiglinge vorsichtig (evtl. mit Kippdiele) auf den heissen Stein befördern. Viel Dampf! Nach 10 Min Dampf ablassen. Temperatur auf 230°C. Goldbraun backen (ca. 20-25 Min). Auf Gitter auskühlen lassen.;Backen;25 Min;CIAB-01_step7_fertig.jpg;Traditionell
active;FR-BAG-001;BAGUETTE-01;1;Baguette Tradition;Französische Brote;1;150g Weizenmehl (T65 oder 550), 150g Wasser, 1g Hefe (frisch);Vorteig (Poolish) ansetzen: Hefe im Wasser lösen, Mehl einrühren (Pfannkuchen-Konsistenz). Abgedeckt 12-16 Stunden bei Raumtemperatur reifen lassen, bis er Blasen wirft und in der Mitte leicht einfällt.;Mischen,Fermentieren;10 Min + 12h Ruhe;BAGUETTE-01_step1_poolish.jpg;Traditionell
active;FR-BAG-001;BAGUETTE-01;1;Baguette Tradition;Französische Brote;2;Reifer Poolish, 350g Weizenmehl (T65 oder 550), 200g Wasser;Autolyse (optional aber empfohlen): Mehl, Wasser und Poolish nur grob mischen. 20-30 Minuten stehen lassen. Das verbessert die Dehnbarkeit enorm.;Mischen,Autolyse;20 Min;null;Traditionell
active;FR-BAG-001;BAGUETTE-01;1;Baguette Tradition;Französische Brote;3;10g Salz, 3g Hefe (frisch);Kneten: Salz und restliche Hefe zugeben. Auf mittlerer Stufe kneten, bis sich der Teig komplett von der Schüssel löst (Fenstertest). Teig ist weich und elastisch.;Kneten;10 Min;null;Traditionell
active;FR-BAG-001;BAGUETTE-01;1;Baguette Tradition;Französische Brote;4;Keine;Stockgare: Teig in eine Wanne geben. Insgesamt 2 Stunden reifen lassen. Nach 45 Minuten einmal dehnen und falten (Stretch & Fold), um dem Kleber Stärke zu geben.;Gären,Falten;2 Std;BAGUETTE-01_step4_fold.jpg;Traditionell
active;FR-BAG-001;BAGUETTE-01;1;Baguette Tradition;Französische Brote;5;Mehl;Teilen & Vorformen: Teig vorsichtig auf bemehlte Fläche kippen. In 3 Stücke à ca. 280-300g teilen. Zu leichten Zylindern vorformen (nicht zu fest drücken). WICHTIG: 15-20 Min entspannen lassen, sonst lässt er sich nicht langrollen.;Teilen,Formen;20 Min;null;Traditionell
active;FR-BAG-001;BAGUETTE-01;1;Baguette Tradition;Französische Brote;6;Keine;Formen (Façonnage): Die Zylinder flach drücken. Oberes Drittel zur Mitte falten, festdrücken. Unteres Drittel zur Mitte, festdrücken. Zusammenklappen und Naht versiegeln. Mit beiden Händen von der Mitte nach aussen auf ca. 50-60 cm ausrollen (Enden spitz zulaufen lassen).;Formen,Rollen;15 Min;BAGUETTE-01_step6_roll.jpg;Traditionell
active;FR-BAG-001;BAGUETTE-01;1;Baguette Tradition;Französische Brote;7;Bäckerleinen (Couche);Stückgare: Die Teiglinge mit dem Schluss (Naht) nach OBEN in bemehltes Leinen legen, den Stoff zwischen den Broten hochziehen zur Stütze. Abgedeckt ca. 30-45 Min gehen lassen.;Gären;45 Min;null;Traditionell
active;FR-BAG-001;BAGUETTE-01;1;Baguette Tradition;Französische Brote;8;Rasierklinge (Lame), Wasser;Backen: Auf Schieber/Blech wenden (Naht nun UNTEN). Mit scharfer Klinge 5-mal fast parallel zur Längsachse einschneiden (nicht quer!). Bei 250°C mit viel Dampf backen. Nach 10 Min Dampf ablassen, Temp auf 230°C. Goldbraun und kross backen (ca. 20-25 Min).;Backen,Einschneiden;25 Min;BAGUETTE-01_step8_cuts.jpg;Traditionell
active;CH-SG-001;CHE-00001-G-001;1;St. Galler Brot;Kantonsbrote;1;1kg Ruchmehl, 700g Wasser, 40g Hefe, 15g Salz;Mischen: Mehl und Hefe in eine grosse Schüssel geben, Wasser beigeben und mischen, bis der Teig zusammenhält. Nach 5 Minuten das Salz beigeben.;Mischen;10 Min;CHE-00001-G-001-st1.jpg;;CHE-00001-G-001.jpg;Professional food photography, ingredients in a mixing bowl, flour heap, water, fresh yeast, rustic bakery table, top down view, high details;blurry, plastic, cartoon, text;Professional food photography, traditional Swiss St. Galler Brot, a round loaf with a distinct nose-like bulge on top, dark crispy crust, placed on a rustic wooden board, slightly torn open to show fluffy crumb, crumbs scattered, 8k resolution, cinematic lighting;plastic, artificial, sliced bread, blurry, text, watermark
active;CH-SG-001;CHE-00001-G-001;1;St. Galler Brot;Kantonsbrote;2;Keine;Kneten: Den Teig insgesamt ca. 10 bis 15 Minuten geschmeidig kneten.;Kneten;15 Min;CHE-00001-G-001-st2.jpg;;CHE-00001-G-001.jpg;Professional food photography, baker's hands kneading a smooth elastic dough on a wooden surface, motion blur, flour dust, artisan style;blurry, plastic, cartoon, text;Professional food photography, traditional Swiss St. Galler Brot, a round loaf with a distinct nose-like bulge on top, dark crispy crust, placed on a rustic wooden board, slightly torn open to show fluffy crumb, crumbs scattered, 8k resolution, cinematic lighting;plastic, artificial, sliced bread, blurry, text, watermark
active;CH-SG-001;CHE-00001-G-001;1;St. Galler Brot;Kantonsbrote;3;Keine;Stockgare: Die Schüssel mit einem feuchten Küchentuch zudecken. Den Teig ruhen lassen, bis er doppelt so gross geworden ist (ca. 60 Minuten).;Gären;60 Min;CHE-00001-G-001-st3.jpg;;CHE-00001-G-001.jpg;Professional food photography, risen dough in a bowl covered with a linen cloth, dough doubled in size, airy texture visible, warm ambient light;blurry, plastic, cartoon, text;Professional food photography, traditional Swiss St. Galler Brot, a round loaf with a distinct nose-like bulge on top, dark crispy crust, placed on a rustic wooden board, slightly torn open to show fluffy crumb, crumbs scattered, 8k resolution, cinematic lighting;plastic, artificial, sliced bread, blurry, text, watermark
active;CH-SG-001;CHE-00001-G-001;1;St. Galler Brot;Kantonsbrote;4;Keine;Formen (Kopfbäcker): Teig aus der Schüssel nehmen, flach drücken. Zusammenfalten und von allen vier Seiten gegen die Mitte falten. So wieder in die Schüssel geben und weitere 30 Minuten ruhen lassen.;Formen,Falten;35 Min;CHE-00001-G-001-st4.jpg;;CHE-00001-G-001.jpg;Professional food photography, baker folding dough from four sides to the center, creating tension, raw dough texture, wooden surface;blurry, plastic, cartoon, text;Professional food photography, traditional Swiss St. Galler Brot, a round loaf with a distinct nose-like bulge on top, dark crispy crust, placed on a rustic wooden board, slightly torn open to show fluffy crumb, crumbs scattered, 8k resolution, cinematic lighting;plastic, artificial, sliced bread, blurry, text, watermark
active;CH-SG-001;CHE-00001-G-001;1;St. Galler Brot;Kantonsbrote;5;Wasser (zum Bestreichen);Backen: Ofen auf 230 Grad vorheizen. Brot 50 bis 60 Minuten backen. Nach dem Backen sofort mit heissem Wasser bestreichen (Glanz).;Backen,Glasieren;60 Min;CHE-00001-G-001-st5.jpg;;CHE-00001-G-001.jpg;Professional food photography, baking oven interior, bread loaf baking with dark crust forming, steam, golden glow;blurry, plastic, cartoon, text;Professional food photography, traditional Swiss St. Galler Brot, a round loaf with a distinct nose-like bulge on top, dark crispy crust, placed on a rustic wooden board, slightly torn open to show fluffy crumb, crumbs scattered, 8k resolution, cinematic lighting;plastic, artificial, sliced bread, blurry, text, watermark
active;CH-OW-001;CHE-00002-G-001;1;Obwaldner Brot;Kantonsbrote;1;1kg Ruchmehl, 7dl Wasser, 20g Hefe, 22g Salt;Mischen: Mehl und Hefe in eine grosse Schüssel geben, Wasser beigeben und mischen. Nach 5 Min Salz beigeben, insgesamt 10-15 Min kneten.;Mischen,Kneten;15 Min;CHE-00002-G-001-st1.jpg;;CHE-00002-G-001.jpg;Professional food photography, kneading machine or hands mixing dough, raw ingredients, flour flying, dynamic shot;blurry, plastic, cartoon, text;Professional food photography, traditional Swiss Obwaldner Brot, two long rustic bread sticks baked together side-by-side, dark brown crust, lying on a wooden cutting board, one end torn off to reveal texture, crumbs, rustic style;plastic, artificial, perfect symmetry, blurry, text
